Timestep,pv,Last,k
1,0,0.13442298493297,-0.13442298493297
2,0,0.12382963395754,-0.12382963395754
3,0,0.123272657559345,-0.123272657559345
4,0,0.118857311154183,-0.118857311154183
5,0,0.111070478686866,-0.111070478686866
6,0,0.139287833357163,-0.139287833357163
7,0,1.39640709564384,-1.39640709564384
8,0,1.55186946215118,-1.55186946215118
9,0.002777777777778,0.774964716257688,-0.77218693847991
10,0.025,1.62087840984521,-1.59587840984521
11,0.036111111111111,1.27874324380854,-1.24263213269743
12,0.025,0.498301786185941,-0.473301786185941
13,0.016666666666667,0.434307355221888,-0.417640688555221
14,0.016666666666667,0.593238602150547,-0.57657193548388
15,0.013888888888889,0.701991035393904,-0.688102146505015
16,0.002777777777778,0.817359574605365,-0.814581796827587
17,0,0.820161443217152,-0.820161443217152
18,0,0.880719699387208,-0.880719699387208
19,0,0.830264166097871,-0.830264166097871
20,0,1.84963432946536,-1.84963432946536
21,0,1.14708070252235,-1.14708070252235
22,0,1.20656302958039,-1.20656302958039
23,0,0.274410422138663,-0.274410422138663
24,0,0.115826796036323,-0.115826796036323
25,0,0.128414405691641,-0.128414405691641
26,0,0.1216759499047,-0.1216759499047
27,0,0.123757743346856,-0.123757743346856
28,0,0.119984394017984,-0.119984394017984
29,0,0.129138321809464,-0.129138321809464
30,0,0.117258921710629,-0.117258921710629
31,0,1.55803968719402,-1.55803968719402
32,0,1.67976776964808,-1.67976776964808
33,0.005555555555556,0.895379506286883,-0.889823950731328
34,0.036111111111111,0.907424829075326,-0.871313717964215
35,0.122222222222222,0.657333412137465,-0.535111189915243
36,0.166666666666667,0.441277216032551,-0.274610549365884
37,0.155555555555556,0.172684023376303,-0.017128467820747
38,0.119444444444444,0.160594950874473,-0.041150506430029
39,0.041666666666667,0.186502972237519,-0.144836305570852
40,0.005555555555556,0.183972657376556,-0.178417101821
41,0,0.34682028165542,-0.34682028165542
42,0,1.41144751289366,-1.41144751289366
43,0,2.71377461511252,-2.71377461511252
44,0,2.25003781665625,-2.25003781665625
45,0,1.2720644573536,-1.2720644573536
46,0,1.80193881696553,-1.80193881696553
47,0,0.715152369029418,-0.715152369029418
48,0,0.125873628124823,-0.125873628124823
49,0,0.130158646590534,-0.130158646590534
50,0,0.125791572992174,-0.125791572992174
51,0,0.118146295346631,-0.118146295346631
52,0,0.134682855680664,-0.134682855680664
53,0,0.116365959412271,-0.116365959412271
54,0,0.128365352628109,-0.128365352628109
55,0,1.48148779042024,-1.48148779042024
56,0,2.02324084229588,-2.02324084229588
57,0.002777777777778,1.11553257699641,-1.11275479921863
58,0.008333333333333,0.120347766266552,-0.112014432933219
59,0.025,0.129943438419337,-0.104943438419337
60,0.030555555555556,0.118977831074677,-0.088422275519121
61,0.05,0.131260014581289,-0.081260014581289
62,0.025,0.181157338404747,-0.156157338404747
63,0.019444444444444,0.588186363712714,-0.56874191926827
64,0.005555555555556,0.364558172046203,-0.359002616490647
65,0,0.353271712366787,-0.353271712366787
66,0,0.366996976445135,-0.366996976445135
67,0,0.954684367335415,-0.954684367335415
68,0,1.76455259413056,-1.76455259413056
69,0,1.13833811480336,-1.13833811480336
70,0,0.299836470010597,-0.299836470010597
71,0,0.738488466358854,-0.738488466358854
72,0,0.140118869888593,-0.140118869888593
73,0,0.116998665655948,-0.116998665655948
74,0,0.123039193450881,-0.123039193450881
75,0,0.124455784385333,-0.124455784385333
76,0,0.129275725988051,-0.129275725988051
77,0,0.123683181006839,-0.123683181006839
78,0,0.1315499035554,-0.1315499035554
79,0,1.4521502155267,-1.4521502155267
80,0,2.13357756651665,-2.13357756651665
81,0.013888888888889,0.365783279183007,-0.351894390294118
82,0.083333333333333,0.118575398329556,-0.035242064996223
83,0.141666666666667,0.133385239391903,0.008281427274764
84,0.197222222222222,0.121651276110186,0.075570946112036
85,0.191666666666667,0.12718712955608,0.064479537110587
86,0.152777777777778,0.137314881179441,0.015462896598337
87,0.077777777777778,0.167014875958496,-0.089237098180718
88,0.019444444444444,0.395711686190944,-0.3762672417465
89,0,0.723817421234785,-0.723817421234785
90,0,2.89053523166384,-2.89053523166384
91,0,2.45331380939811,-2.45331380939811
92,0,2.07821555050144,-2.07821555050144
93,0,0.859439475326128,-0.859439475326128
